Sample_code
10A
11A
12C
13C
14A
15A
16B
17C
18A
19A
1A
20A
21C
22C
22C
23C
24A
25A
26B
27B
28C
29C
2C
30B
31A
32C
37B
38C
39A
3A
40C
4C
5A
7C
8B
9A
